                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3848,                 1.6975,                 1.1091,                 1.3947,                 3.0108,                 1.0321,                0.81431,                 0.5004,                0.54078,                0.34728,                 1.2818,                 1.0104,                 1.0706,                 1.2943,                 2.3299,                 1.0225,             0.00036913,             0.00036913,             0.00036913
                      2,                 1.2912,                 1.0078,                 1.0825,                 1.3643,                 1.6762,                 1.0483,                0.88239,                0.53319,                 0.5882,                0.37634,                 1.2268,                0.83635,                 1.0765,                   1.27,                 1.3037,                 1.0596,             0.00073214,             0.00073214,             0.00073214
                      3,                  1.265,                0.86063,                 1.0817,                 1.3586,                 1.1216,                 1.0633,                0.88317,                0.55118,                0.59893,                0.38315,                 1.2546,                0.76389,                 1.0992,                 1.3038,                0.92899,                 1.0812,              0.0010878,              0.0010878,              0.0010878
                      4,                 1.2602,                0.79818,                 1.0829,                 1.3639,                 0.9499,                 1.0727,                0.90673,                0.57238,                0.61701,                0.39788,                 1.2424,                0.69533,                 1.0904,                 1.2927,                0.76965,                 1.0875,               0.001078,               0.001078,               0.001078
                      5,                 1.2327,                0.74356,                 1.0737,                 1.3446,                0.84034,                 1.0753,                0.91832,                0.58521,                0.62772,                0.40449,                 1.2071,                0.65733,                  1.084,                 1.2779,                 0.6827,                 1.0859,               0.001078,               0.001078,               0.001078
                      6,                  1.217,                0.72159,                 1.0745,                  1.337,                0.80174,                 1.0748,                0.92168,                0.58387,                0.62741,                0.40364,                 1.2079,                  0.642,                 1.0897,                 1.2689,                0.65319,                 1.0909,               0.001067,               0.001067,               0.001067
                      7,                 1.2218,                0.70674,                 1.0708,                 1.3406,                0.77183,                  1.077,                0.92606,                 0.5892,                0.62686,                0.40821,                 1.2093,                0.63242,                  1.078,                 1.2787,                0.65375,                 1.0944,               0.001056,               0.001056,               0.001056
                      8,                 1.1987,                0.67959,                 1.0637,                 1.3126,                 0.7246,                 1.0691,                0.92349,                0.60312,                0.63439,                0.41684,                  1.196,                0.62064,                 1.0875,                 1.2607,                0.60878,                 1.0912,               0.001045,               0.001045,               0.001045
                      9,                 1.2009,                0.67644,                  1.066,                 1.3173,                0.73137,                 1.0691,                0.92407,                0.59178,                0.63587,                0.41298,                 1.1854,                 0.6042,                 1.0739,                 1.2453,                0.61878,                 1.0824,               0.001034,               0.001034,               0.001034
                     10,                 1.1917,                0.66691,                 1.0568,                 1.3089,                0.71695,                 1.0641,                0.93679,                 0.5993,                 0.6358,                0.42136,                 1.1812,                0.59774,                 1.0731,                 1.2435,                0.58075,                 1.0831,               0.001023,               0.001023,               0.001023
                     11,                 1.1877,                0.65393,                 1.0585,                 1.3032,                0.69032,                 1.0681,                0.94103,                0.59937,                0.63873,                0.41669,                 1.2062,                0.59285,                 1.0875,                 1.2597,                0.57393,                 1.1007,               0.001012,               0.001012,               0.001012
                     12,                 1.1779,                0.64548,                 1.0541,                 1.2944,                0.67685,                 1.0666,                0.94448,                0.59558,                0.63932,                0.42568,                 1.1748,                0.58411,                 1.0709,                 1.2343,                0.55861,                 1.0837,               0.001001,               0.001001,               0.001001
                     13,                 1.1805,                0.63949,                 1.0548,                 1.2943,                0.67151,                  1.063,                0.93867,                0.59978,                0.64009,                0.42367,                 1.1757,                 0.5755,                 1.0719,                 1.2362,                0.55221,                 1.0792,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.1638,                 0.6362,                 1.0499,                 1.2842,                0.66238,                 1.0569,                0.93634,                0.60467,                0.63801,                0.42802,                 1.1718,                0.58123,                 1.0704,                 1.2265,                0.55681,                  1.077,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.1699,                0.62952,                 1.0499,                 1.2848,                 0.6654,                 1.0612,                0.94795,                0.59753,                 0.6419,                0.42462,                 1.1819,                0.57324,                 1.0745,                 1.2309,                0.55064,                 1.0838,             0.00096801,             0.00096801,             0.00096801
                     16,                 1.1634,                0.62027,                 1.0472,                 1.2786,                 0.6404,                 1.0598,                0.94112,                0.60904,                0.64335,                0.42758,                 1.1738,                0.56653,                 1.0745,                 1.2294,                0.54403,                 1.0815,             0.00095702,             0.00095702,             0.00095702
                     17,                 1.1508,                0.61405,                 1.0467,                 1.2683,                0.63414,                 1.0509,                0.94016,                0.60596,                0.64467,                0.42654,                 1.1753,                0.56483,                 1.0791,                 1.2331,                0.53326,                 1.0888,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.1466,                0.60627,                 1.0412,                 1.2611,                0.63048,                 1.0526,                0.95134,                0.60247,                0.64564,                0.43348,                  1.164,                 0.5568,                  1.068,                 1.2187,                0.54179,                 1.0802,             0.00093502,             0.00093502,             0.00093502
                     19,                 1.1589,                0.61825,                 1.0478,                 1.2784,                0.64406,                 1.0561,                0.94904,                0.59635,                0.64651,                0.43039,                 1.1684,                0.56306,                 1.0757,                 1.2248,                0.53908,                 1.0782,             0.00092402,             0.00092402,             0.00092402
                     20,                 1.1487,                0.60612,                  1.043,                 1.2604,                0.62493,                 1.0518,                0.94932,                  0.602,                 0.6463,                0.43118,                 1.1815,                0.55306,                 1.0745,                  1.237,                0.53501,                 1.0876,             0.00091302,             0.00091302,             0.00091302
                     21,                  1.146,                0.60383,                 1.0432,                 1.2615,                0.62808,                 1.0564,                0.94072,                0.61201,                0.64442,                0.43104,                 1.1739,                 0.5489,                 1.0735,                 1.2306,                0.52954,                 1.0867,             0.00090202,             0.00090202,             0.00090202
                     22,                 1.1406,                0.59526,                 1.0409,                  1.253,                0.60902,                 1.0522,                0.94459,                 0.6058,                0.64581,                 0.4253,                 1.1781,                0.55036,                 1.0799,                 1.2368,                0.53051,                 1.0897,             0.00089102,             0.00089102,             0.00089102
                     23,                 1.1239,                0.58668,                 1.0332,                 1.2342,                 0.6051,                 1.0424,                0.93594,                0.61492,                0.64393,                0.43447,                 1.1586,                0.54405,                 1.0678,                 1.2149,                0.51907,                 1.0771,             0.00088002,             0.00088002,             0.00088002
                     24,                 1.1316,                0.58545,                 1.0309,                 1.2408,                0.60041,                 1.0413,                 0.9503,                0.60515,                0.64602,                0.43286,                 1.1669,                0.54223,                 1.0666,                 1.2241,                0.51787,                 1.0832,             0.00086902,             0.00086902,             0.00086902
                     25,                 1.1277,                0.58599,                 1.0345,                 1.2365,                0.59254,                  1.045,                0.94453,                 0.6118,                0.64523,                0.43462,                 1.1679,                0.54155,                 1.0734,                 1.2262,                 0.5162,                 1.0813,             0.00085803,             0.00085803,             0.00085803
                     26,                 1.1241,                0.57658,                 1.0327,                 1.2336,                0.58915,                 1.0455,                 0.9459,                0.60819,                0.64578,                0.43325,                 1.1662,                0.54349,                 1.0713,                   1.22,                0.53189,                 1.0839,             0.00084703,             0.00084703,             0.00084703
                     27,                 1.1197,                0.57027,                 1.0302,                 1.2299,                0.57695,                 1.0465,                0.58551,                0.64222,                0.64319,                 0.4298,                 1.1674,                0.54027,                 1.0705,                 1.2296,                0.53352,                  1.093,             0.00083603,             0.00083603,             0.00083603
                     28,                 1.1129,                0.57045,                 1.0265,                 1.2275,                0.58458,                 1.0439,                0.62147,                0.60595,                0.64228,                0.43368,                 1.1564,                0.53576,                 1.0632,                 1.2125,                0.52999,                 1.0804,             0.00082503,             0.00082503,             0.00082503
                     29,                 1.1234,                0.57537,                 1.0296,                 1.2334,                0.58191,                 1.0488,                0.61253,                0.60849,                0.64693,                0.43342,                 1.1672,                0.53674,                 1.0688,                 1.2231,                0.51748,                 1.0913,             0.00081403,             0.00081403,             0.00081403
                     30,                 1.1132,                0.57359,                 1.0274,                 1.2228,                0.58276,                 1.0456,                0.95416,                0.60784,                0.64742,                0.43419,                  1.159,                0.53953,                 1.0656,                 1.2195,                 0.5166,                 1.0796,             0.00080303,             0.00080303,             0.00080303
                     31,                 1.1157,                0.57117,                 1.0275,                 1.2218,                0.58242,                 1.0401,                0.61278,                0.61167,                0.64634,                0.43589,                 1.1569,                0.54096,                 1.0663,                 1.2173,                0.52294,                 1.0822,             0.00079203,             0.00079203,             0.00079203
                     32,                 1.1007,                0.56248,                 1.0204,                 1.2127,                0.57769,                 1.0343,                0.94508,                0.61512,                0.64767,                0.43738,                 1.1604,                 0.5275,                 1.0673,                 1.2121,                0.51227,                 1.0778,             0.00078103,             0.00078103,             0.00078103
                     33,                 1.1141,                0.56568,                 1.0257,                 1.2215,                0.58015,                 1.0384,                0.61353,                0.61249,                0.64738,                 0.4385,                 1.1546,                0.53256,                 1.0609,                 1.2061,                0.52352,                 1.0764,             0.00077003,             0.00077003,             0.00077003
                     34,                 1.0959,                0.55701,                 1.0203,                 1.2005,                0.56332,                 1.0348,                 0.6142,                0.61365,                 0.6434,                0.43496,                 1.1587,                0.53379,                 1.0681,                  1.219,                 0.5254,                 1.0884,             0.00075904,             0.00075904,             0.00075904
                     35,                  1.099,                0.55502,                 1.0205,                 1.2103,                0.56415,                 1.0385,                0.95188,                0.60874,                0.64547,                0.43785,                 1.1594,                 0.5273,                 1.0673,                 1.2104,                0.51957,                 1.0865,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.0944,                0.55731,                 1.0208,                 1.2053,                0.57011,                  1.037,                0.60397,                0.62848,                0.64374,                0.43626,                 1.1584,                0.53431,                 1.0654,                 1.2113,                0.52585,                  1.083,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.0956,                0.55389,                 1.0235,                 1.2065,                 0.5569,                 1.0352,                0.64145,                0.61726,                0.64781,                0.43834,                 1.1568,                0.52979,                 1.0673,                 1.2136,                0.51235,                 1.0795,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.0909,                0.54545,                 1.0171,                 1.1966,                0.55198,                 1.0298,                0.61718,                0.61248,                0.64915,                0.43481,                 1.1634,                0.52757,                 1.0702,                 1.2188,                0.51193,                  1.087,             0.00071504,             0.00071504,             0.00071504
                     39,                  1.085,                0.54633,                 1.0178,                 1.1917,                0.55663,                 1.0323,                0.61842,                0.60497,                0.64392,                0.43661,                 1.1592,                0.52579,                 1.0693,                 1.2129,                 0.5266,                 1.0888,             0.00070404,             0.00070404,             0.00070404
                     40,                 1.0865,                0.53941,                 1.0125,                 1.1913,                0.54782,                 1.0304,                0.60968,                0.62416,                  0.647,                0.43743,                 1.1641,                0.52472,                 1.0663,                  1.213,                 0.5236,                 1.0862,             0.00069304,             0.00069304,             0.00069304
