                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5104,                 2.1086,                 1.1353,                 1.5313,                 3.3554,                 1.0408,                0.80695,                0.47515,                0.51215,                0.30958,                 1.3383,                 1.2358,                 1.0477,                  1.355,                 2.4757,                0.98653,             0.00036913,             0.00036913,             0.00036913
                      2,                 1.3712,                 1.2288,                 1.0743,                 1.4665,                 1.8901,                 1.0134,                0.86285,                0.49278,                0.55036,                0.32961,                 1.3101,                 1.0284,                 1.0663,                 1.3808,                 1.4993,                 1.0114,             0.00073214,             0.00073214,             0.00073214
                      3,                 1.3432,                 1.0477,                 1.0732,                 1.4664,                 1.3128,                 1.0232,                0.85916,                0.52151,                0.57792,                0.35767,                 1.2864,                0.90854,                 1.0554,                  1.358,                 1.0575,                 1.0063,              0.0010878,              0.0010878,              0.0010878
                      4,                 1.3291,                0.96811,                 1.0701,                 1.4552,                 1.1297,                 1.0245,                0.89482,                0.52634,                0.59131,                0.37224,                 1.3021,                0.83919,                 1.0886,                 1.3786,                0.87446,                 1.0303,               0.001078,               0.001078,               0.001078
                      5,                 1.3051,                0.90418,                 1.0628,                 1.4384,                 1.0147,                 1.0261,                0.90747,                0.52893,                0.60162,                0.37933,                 1.2651,                0.80085,                 1.0554,                 1.3561,                0.83683,                   1.02,               0.001078,               0.001078,               0.001078
                      6,                 1.2966,                 0.8833,                 1.0654,                 1.4296,                0.98504,                 1.0309,                0.89161,                0.54824,                0.60246,                0.38777,                 1.2476,                0.75445,                 1.0529,                 1.3337,                0.76751,                 1.0082,               0.001067,               0.001067,               0.001067
                      7,                 1.2902,                0.86149,                 1.0554,                 1.4229,                0.95851,                 1.0192,                0.90356,                0.54163,                0.60615,                0.39002,                 1.2478,                0.74896,                 1.0503,                 1.3206,                0.76237,                 1.0064,               0.001056,               0.001056,               0.001056
                      8,                 1.2698,                0.82941,                 1.0478,                 1.4033,                0.90509,                 1.0127,                0.92172,                0.55183,                0.61446,                0.39864,                 1.2337,                0.72366,                 1.0468,                 1.3119,                0.73037,                 1.0044,               0.001045,               0.001045,               0.001045
                      9,                 1.2736,                0.82809,                 1.0516,                 1.4093,                0.91149,                 1.0171,                0.89997,                0.55741,                0.60839,                0.39126,                 1.2216,                 0.7229,                 1.0438,                 1.3071,                0.72697,                 1.0013,               0.001034,               0.001034,               0.001034
                     10,                 1.2698,                0.82327,                 1.0451,                 1.4015,                0.90814,                 1.0139,                0.91504,                0.56603,                0.62071,                0.40188,                 1.2216,                0.71737,                 1.0417,                 1.3073,                0.70033,                0.99982,               0.001023,               0.001023,               0.001023
                     11,                 1.2603,                0.80456,                 1.0461,                 1.3934,                0.87825,                 1.0169,                0.91387,                 0.5654,                0.61742,                0.40141,                 1.2187,                0.70166,                 1.0364,                 1.2969,                0.69777,                0.99574,               0.001012,               0.001012,               0.001012
