                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1351,                0.59129,                 1.1789,                 1.2554,                0.63741,                 1.1798,                0.94264,                0.60328,                0.64031,                0.43493,                 1.1598,                0.53939,                 1.2469,                 1.2122,                0.53724,                 1.2501,             0.00062705,             0.00062705,             0.00062705
                     25,                 1.1275,                0.58945,                 1.1764,                 1.2467,                 0.6293,                 1.1783,                0.94603,                0.60296,                0.63972,                0.43379,                  1.164,                0.53938,                 1.2545,                 1.2206,                0.54003,                 1.2645,             0.00060505,             0.00060505,             0.00060505
                     26,                 1.1162,                0.57948,                  1.167,                 1.2353,                0.62608,                 1.1723,                0.94398,                0.59749,                0.64123,                 0.4321,                 1.1597,                  0.553,                 1.2424,                 1.2168,                 0.5544,                 1.2574,             0.00058305,             0.00058305,             0.00058305
                     27,                 1.1101,                0.56799,                 1.1599,                 1.2259,                0.60535,                 1.1634,                0.94413,                0.60736,                0.63976,                0.43477,                 1.1458,                0.52777,                 1.2352,                 1.2056,                0.51442,                 1.2469,             0.00056105,             0.00056105,             0.00056105
                     28,                 1.0978,                0.56347,                 1.1577,                 1.2209,                0.60471,                 1.1621,                0.95473,                0.60405,                0.64405,                0.43757,                 1.1474,                0.51955,                 1.2372,                 1.2044,                0.51132,                 1.2474,             0.00053906,             0.00053906,             0.00053906
                     29,                 1.1072,                0.56689,                 1.1629,                 1.2263,                 0.6032,                 1.1669,                0.94718,                0.60498,                0.64479,                0.43834,                 1.1488,                0.51626,                 1.2419,                 1.2073,                0.51051,                 1.2519,             0.00051706,             0.00051706,             0.00051706
                     30,                 1.0912,                0.56267,                 1.1549,                 1.2085,                0.60576,                 1.1592,                0.94123,                0.61376,                0.64284,                0.43628,                 1.1502,                0.51907,                  1.242,                 1.2092,                0.51717,                 1.2544,             0.00049506,             0.00049506,             0.00049506
                     31,                 1.0958,                0.55813,                 1.1542,                  1.208,                 0.5954,                 1.1582,                0.94505,                0.61105,                0.64615,                0.43684,                 1.1491,                0.51653,                 1.2387,                 1.2051,                0.51071,                 1.2497,             0.00047306,             0.00047306,             0.00047306
                     32,                 1.0754,                 0.5471,                 1.1442,                 1.1926,                0.58584,                 1.1472,                0.95032,                0.60544,                 0.6445,                0.44035,                 1.1383,                0.51227,                 1.2341,                 1.1957,                0.50998,                 1.2436,             0.00045107,             0.00045107,             0.00045107
                     33,                 1.0805,                0.54679,                 1.1448,                 1.1969,                0.58443,                 1.1479,                0.94926,                0.60735,                0.64585,                0.43931,                 1.1407,                0.51055,                 1.2324,                 1.2007,                0.51529,                  1.245,             0.00042907,             0.00042907,             0.00042907
