                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 2.3255,                 2.6285,                 1.9359,                 2.2631,                 3.1255,                 1.6973,                0.55747,                0.13721,                0.12023,                0.04938,                 2.1881,                 2.4905,                 1.8614,                 2.1011,                 2.9877,                  1.651,             0.00064905,             0.00064905,             0.00064905
                     24,                 2.3131,                 2.6117,                 1.9147,                 2.2476,                 3.1213,                 1.6939,                0.57378,                0.14136,                0.12435,                0.05241,                 2.1597,                 2.4545,                 1.8672,                 2.1006,                 2.9471,                 1.6592,             0.00062705,             0.00062705,             0.00062705
                     25,                 2.3158,                 2.5859,                 1.9163,                 2.2526,                 3.0836,                 1.6727,                0.55625,                0.15183,                0.12601,                0.05449,                 2.1789,                 2.4524,                 1.8426,                 2.0614,                 2.9523,                 1.5989,             0.00060505,             0.00060505,             0.00060505
                     26,                 2.2916,                 2.5516,                 1.8833,                 2.2338,                 3.0589,                 1.6529,                 0.5558,                0.15404,                0.12687,                 0.0549,                 2.1591,                 2.4142,                 1.8322,                 2.0883,                 2.9546,                 1.6052,             0.00058305,             0.00058305,             0.00058305
                     27,                 2.2807,                 2.5356,                 1.8698,                 2.2249,                 3.0325,                 1.6419,                0.56415,                0.15157,                0.12772,                0.05465,                 2.1567,                 2.4278,                 1.8262,                 2.0547,                 2.9333,                 1.5754,             0.00056105,             0.00056105,             0.00056105
                     28,                 2.2764,                 2.5261,                 1.8586,                 2.2217,                 3.0333,                 1.6355,                0.55881,                0.15208,                0.12714,                0.05574,                 2.1692,                 2.4041,                   1.83,                 2.0704,                 2.9123,                 1.5978,             0.00053906,             0.00053906,             0.00053906
                     29,                 2.2737,                 2.5055,                 1.8489,                  2.211,                 3.0117,                 1.6236,                0.55894,                0.16064,                0.13429,                0.05884,                 2.1459,                 2.3804,                 1.7991,                 2.0445,                 2.8946,                 1.5805,             0.00051706,             0.00051706,             0.00051706
                     30,                 2.2713,                 2.5148,                 1.8329,                 2.2176,                 3.0113,                 1.6267,                0.56948,                0.15306,                0.13477,                0.05877,                 2.1432,                 2.4038,                 1.7777,                 2.0604,                 2.9062,                 1.5839,             0.00049506,             0.00049506,             0.00049506
                     31,                   2.25,                 2.4809,                 1.8258,                 2.1925,                 3.0023,                 1.6027,                0.56736,                0.16219,                0.13691,                 0.0599,                  2.136,                 2.3782,                 1.7916,                 2.0447,                 2.8957,                 1.5674,             0.00047306,             0.00047306,             0.00047306
                     32,                 2.2531,                 2.4682,                  1.814,                 2.1884,                 2.9806,                 1.5909,                0.58111,                0.15702,                   0.14,                 0.0616,                 2.1417,                 2.3623,                 1.7753,                  2.057,                 2.8733,                 1.5665,             0.00045107,             0.00045107,             0.00045107
