                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1386,                0.59453,                 1.0443,                   1.25,                0.61746,                 1.0605,                0.94705,                0.60228,                0.64101,                0.42877,                 1.1711,                0.54338,                 1.0869,                 1.2271,                0.53159,                 1.1083,             0.00086902,             0.00086902,             0.00086902
                     25,                 1.1392,                0.59598,                 1.0482,                 1.2464,                 0.6142,                 1.0672,                0.95307,                0.60355,                0.64323,                0.43201,                 1.1651,                0.54045,                 1.0851,                 1.2241,                0.52438,                 1.1083,             0.00085803,             0.00085803,             0.00085803
                     26,                 1.1335,                0.58946,                 1.0476,                 1.2404,                0.61434,                 1.0644,                0.95809,                0.60431,                0.64535,                0.43696,                 1.1542,                0.53359,                  1.079,                  1.209,                0.51337,                 1.1025,             0.00084703,             0.00084703,             0.00084703
                     27,                 1.1262,                0.58261,                 1.0414,                 1.2305,                0.60237,                  1.057,                0.94851,                0.60714,                 0.6395,                0.43253,                 1.1646,                0.54158,                 1.0847,                 1.2121,                0.52283,                 1.1034,             0.00083603,             0.00083603,             0.00083603
                     28,                 1.1199,                0.58094,                 1.0411,                 1.2327,                0.60469,                 1.0564,                0.95364,                 0.6081,                0.64518,                0.43386,                 1.1566,                0.52835,                 1.0815,                 1.2069,                0.51775,                 1.0978,             0.00082503,             0.00082503,             0.00082503
                     29,                 1.1278,                0.58329,                 1.0441,                 1.2335,                 0.6018,                 1.0608,                0.95243,                0.60163,                0.64574,                0.43514,                 1.1539,                0.52701,                 1.0793,                  1.206,                0.50869,                 1.1002,             0.00081403,             0.00081403,             0.00081403
                     30,                   1.12,                0.58496,                 1.0407,                 1.2265,                0.60445,                 1.0584,                0.95831,                0.60621,                0.64444,                0.43487,                 1.1556,                0.53052,                 1.0873,                 1.2058,                0.50835,                  1.108,             0.00080303,             0.00080303,             0.00080303
                     31,                   1.12,                0.57833,                 1.0412,                 1.2254,                0.59699,                 1.0582,                  0.952,                0.60463,                0.64608,                0.43593,                 1.1495,                0.52854,                 1.0781,                 1.2074,                 0.5051,                 1.0971,             0.00079203,             0.00079203,             0.00079203
                     32,                 1.1007,                0.56976,                 1.0331,                 1.2146,                0.58862,                 1.0502,                0.95019,                0.61212,                0.64463,                0.43317,                  1.152,                0.52443,                 1.0781,                 1.2096,                0.50449,                 1.0988,             0.00078103,             0.00078103,             0.00078103
                     33,                 1.1132,                0.57704,                 1.0385,                 1.2216,                0.59276,                 1.0539,                0.95354,                0.61281,                 0.6454,                0.43822,                 1.1521,                0.51862,                 1.0819,                 1.2079,                0.49802,                 1.1002,             0.00077003,             0.00077003,             0.00077003
                     34,                 1.1029,                0.56113,                 1.0372,                 1.2084,                0.57693,                 1.0521,                0.95485,                0.60808,                0.64381,                0.43865,                  1.141,                0.51726,                 1.0749,                 1.1938,                0.50588,                 1.0909,             0.00075904,             0.00075904,             0.00075904
                     35,                 1.1041,                0.56097,                  1.035,                 1.2109,                0.57946,                 1.0523,                0.95257,                0.61134,                0.64625,                0.43751,                 1.1539,                0.51974,                 1.0763,                 1.2062,                0.49605,                 1.0998,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.1019,                0.56486,                 1.0332,                 1.2095,                0.58441,                 1.0514,                0.95084,                0.61275,                0.65011,                0.44163,                 1.1467,                0.51396,                 1.0799,                 1.2017,                0.49887,                 1.0999,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.0992,                0.55926,                 1.0379,                 1.2035,                0.57584,                 1.0528,                0.95261,                0.60922,                0.64467,                 0.4389,                 1.1441,                0.51771,                 1.0739,                 1.1953,                0.51804,                 1.0884,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.0968,                0.55098,                 1.0296,                  1.196,                0.56332,                 1.0448,                0.95173,                0.61327,                0.64636,                0.43623,                 1.1535,                0.50979,                 1.0855,                 1.2047,                0.50102,                  1.102,             0.00071504,             0.00071504,             0.00071504
                     39,                 1.0871,                0.55735,                 1.0291,                 1.1894,                0.56902,                  1.045,                0.96129,                0.60983,                 0.6491,                0.43956,                 1.1445,                0.50995,                  1.076,                 1.1903,                0.49646,                 1.0942,             0.00070404,             0.00070404,             0.00070404
                     40,                 1.0913,                0.54828,                  1.027,                 1.1944,                0.55662,                 1.0431,                 0.9573,                0.60886,                0.64657,                0.44169,                 1.1432,                0.51587,                 1.0763,                 1.1955,                 0.4936,                 1.0926,             0.00069304,             0.00069304,             0.00069304
                     41,                 1.0889,                 0.5477,                 1.0304,                 1.1908,                0.56237,                 1.0447,                0.95474,                0.61112,                0.64582,                0.43883,                 1.1528,                 0.5078,                 1.0826,                 1.2029,                0.49619,                 1.1016,             0.00068204,             0.00068204,             0.00068204
                     42,                 1.0793,                0.54027,                 1.0245,                  1.184,                  0.551,                 1.0418,                0.95719,                0.61215,                0.64674,                0.44026,                 1.1362,                0.50743,                 1.0698,                 1.1849,                0.49893,                   1.09,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.0862,                0.54221,                 1.0266,                 1.1928,                0.55235,                 1.0445,                0.95728,                0.61179,                0.64496,                0.44052,                 1.1416,                0.50434,                 1.0778,                  1.191,                0.49814,                 1.0986,             0.00066005,             0.00066005,             0.00066005
                     44,                 1.0859,                0.54381,                 1.0211,                 1.1929,                0.55242,                 1.0384,                 0.6241,                0.61361,                0.64442,                0.43969,                 1.1372,                0.50818,                 1.0739,                 1.1895,                0.50285,                 1.0914,             0.00064905,             0.00064905,             0.00064905
                     45,                 1.0749,                0.53688,                 1.0236,                 1.1773,                0.55061,                 1.0404,                0.62082,                0.61801,                0.64631,                0.43913,                 1.1453,                0.50823,                 1.0763,                 1.1949,                0.49689,                 1.0981,             0.00063805,             0.00063805,             0.00063805
                     46,                 1.0752,                0.53337,                 1.0206,                 1.1772,                0.54106,                 1.0359,                0.62373,                0.61555,                0.64264,                 0.4416,                  1.133,                 0.5035,                 1.0695,                 1.1861,                0.49809,                  1.088,             0.00062705,             0.00062705,             0.00062705
                     47,                 1.0718,                 0.5371,                 1.0241,                 1.1797,                0.54689,                 1.0391,                 0.9547,                0.61354,                0.64608,                0.44199,                 1.1378,                0.49988,                 1.0704,                 1.1859,                 0.4869,                  1.092,             0.00061605,             0.00061605,             0.00061605
                     48,                 1.0765,                0.52576,                 1.0212,                 1.1768,                0.53329,                 1.0378,                0.61485,                 0.6316,                0.64842,                0.44189,                 1.1419,                0.49789,                 1.0762,                 1.1904,                0.50214,                 1.0945,             0.00060505,             0.00060505,             0.00060505
                     49,                 1.0576,                0.52601,                  1.019,                 1.1597,                0.53279,                 1.0378,                0.95625,                 0.6111,                0.64561,                0.43979,                 1.1419,                0.49996,                 1.0736,                 1.1882,                0.50753,                 1.0919,             0.00059405,             0.00059405,             0.00059405
                     50,                 1.0615,                0.52127,                 1.0138,                 1.1641,                0.52894,                  1.029,                0.62281,                0.61285,                0.64607,                0.44279,                 1.1415,                0.50202,                 1.0741,                 1.1893,                0.50658,                  1.089,             0.00058305,             0.00058305,             0.00058305
                     51,                 1.0656,                0.52714,                 1.0209,                 1.1676,                0.54079,                 1.0351,                0.68468,                0.63004,                0.64853,                 0.4422,                 1.1436,                0.50181,                 1.0796,                 1.1972,                0.49845,                 1.0961,             0.00057205,             0.00057205,             0.00057205
                     52,                 1.0519,                0.51579,                 1.0153,                 1.1544,                0.52585,                 1.0303,                0.60743,                0.64918,                0.64764,                0.44235,                 1.1418,                0.50075,                 1.0748,                 1.1902,                0.49267,                 1.0933,             0.00056105,             0.00056105,             0.00056105
                     53,                 1.0553,                0.52005,                 1.0111,                  1.158,                0.53014,                 1.0271,                0.62774,                0.60901,                0.64716,                0.44345,                 1.1446,                0.50079,                 1.0741,                 1.1913,                0.49905,                 1.0943,             0.00055006,             0.00055006,             0.00055006
                     54,                 1.0522,                 0.5116,                 1.0145,                 1.1507,                0.51904,                 1.0296,                0.61967,                0.61518,                0.64558,                0.44068,                 1.1416,                0.50088,                 1.0772,                 1.1923,                0.49049,                 1.0933,             0.00053906,             0.00053906,             0.00053906
                     55,                 1.0476,                0.51054,                 1.0109,                 1.1516,                0.52194,                 1.0256,                 0.6207,                0.61641,                0.64836,                 0.4447,                 1.1359,                0.49559,                  1.074,                 1.1832,                0.48862,                 1.0932,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.0507,                0.50774,                 1.0126,                 1.1493,                0.51192,                 1.0305,                0.61106,                0.65009,                 0.6481,                0.44026,                 1.1449,                0.50291,                 1.0805,                 1.1947,                0.49197,                 1.0991,             0.00051706,             0.00051706,             0.00051706
                     57,                 1.0572,                0.51424,                 1.0164,                 1.1587,                0.52635,                 1.0314,                0.64729,                0.63915,                0.64726,                0.44261,                 1.1439,                0.49852,                 1.0777,                 1.1885,                0.49892,                 1.0981,             0.00050606,             0.00050606,             0.00050606
                     58,                 1.0305,                0.49929,                 1.0071,                   1.13,                0.50412,                  1.023,                 0.6201,                0.63511,                0.64488,                0.43994,                 1.1399,                0.50045,                 1.0788,                 1.1877,                 0.5139,                 1.0956,             0.00049506,             0.00049506,             0.00049506
                     59,                 1.0357,                0.50597,                 1.0056,                 1.1406,                0.51552,                  1.022,                0.64174,                0.63893,                0.64767,                0.44256,                 1.1434,                0.50367,                 1.0778,                 1.1886,                0.50574,                 1.0975,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.0415,                0.50028,                 1.0071,                 1.1398,                0.50426,                 1.0236,                0.62067,                0.61624,                0.64434,                0.44287,                 1.1382,                0.49452,                 1.0783,                 1.1852,                0.50547,                 1.0973,             0.00047306,             0.00047306,             0.00047306
                     61,                 1.0324,                 0.4944,                 1.0012,                 1.1334,                0.49722,                 1.0155,                0.65552,                0.63361,                 0.6519,                0.44678,                 1.1378,                0.50135,                 1.0736,                 1.1835,                0.49933,                 1.0927,             0.00046206,             0.00046206,             0.00046206
                     62,                 1.0296,                0.49393,                 1.0005,                 1.1312,                0.49953,                 1.0155,                0.62288,                0.61488,                0.64318,                0.44233,                 1.1374,                0.50156,                 1.0735,                 1.1858,                0.50448,                  1.092,             0.00045107,             0.00045107,             0.00045107
